# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Fri Nov  4 01:31:51 2022
#
# User preference: *
#
# CONSTRAINT:  order by st_ppnum desc, hip_name asc
#
# COLUMN star_name:      Star Name
# COLUMN hip_name:       HIP Name
# COLUMN hd_name:        HD Name
# COLUMN st_ppnum:       Number of Planets in System
# COLUMN st_dist:        Distance [pc]
# COLUMN st_disterr1:    Distance Upper Unc. [pc]
# COLUMN st_disterr2:    Distance Lower Unc. [pc]
# COLUMN st_spttype:     Spectral Type
# COLUMN st_lbol:        Stellar Bolometric Luminosity [Solar]
# COLUMN st_lbolerr:     Stellar Bolometric Luminosity Unc. [Solar]
# COLUMN st_pmra:        Proper Motion (RA) [mas/yr]
# COLUMN st_pmraerr:     Proper Motion (RA) Unc. [mas/yr]
# COLUMN st_pmdec:       Proper Motion (Dec) [mas/yr]
# COLUMN st_pmdecerr:    Proper Motion (Dec) Unc. [mas/yr]
# COLUMN st_glon:        Galactic Longitude [deg]
# COLUMN st_glat:        Galactic Latitude [deg]
# COLUMN st_mbol:        Bolometric Magnitude [mag]
# COLUMN st_mbolerr:     Bolometric Magnitude Unc. [mag]
# COLUMN st_lumclass:    Luminosity Class
# COLUMN st_rad:         Stellar Radius [Solar radii]
# COLUMN st_raderr:      Stellar Radius Unc. [Solar radii]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr:     Stellar Mass Unc. [Solar mass]
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_loggerr:     Stellar Surface Gravity Unc. [log10(cm/s**2)]
#
star_name,hip_name,hd_name,st_ppnum,st_dist,st_disterr1,st_disterr2,st_spttype,st_lbol,st_lbolerr,st_pmra,st_pmraerr,st_pmdec,st_pmdecerr,st_glon,st_glat,st_mbol,st_mbolerr,st_lumclass,st_rad,st_raderr,st_mass,st_masserr,st_logg,st_loggerr
HIP 71075,HIP 71075,HD 127762,0,26.61,,,A7IIIvar,35.470,0.050,-115.500,,151.900,,67.262036,66.172343,0.910,0.010,MAINSEQ,3.06,,2.50,,,
HIP 71284,HIP 71284,HD 128167,0,15.83,,,F3Vwvar,3.420,0.050,188.300,,132.700,,45.625278,67.201356,3.470,0.010,MAINSEQ,1.33,,1.24,,4.30,
alf Cen B,HIP 71681,HD 128621,0,1.34,,,K0V,0.520,0.050,-3600.300,,952.100,,315.737332,-0.686979,5.720,0.020,MAINSEQ,0.88,,0.88,,4.52,
alf Cen A,HIP 71683,HD 128620,0,1.34,,,G2.0V,1.610,0.070,-3678.200,,481.800,,315.741882,-0.684264,4.360,0.030,MAINSEQ,1.25,,1.06,,4.30,
HIP 71908,HIP 71908,HD 128898,0,16.57,,,APSREU(CR),12.530,0.060,-192.600,,-234.100,,314.335550,-4.591352,2.060,0.020,MAINSEQ,2.02,,1.91,,4.11,
HIP 71957,HIP 71957,HD 129502,0,18.27,,,F2V,8.020,0.060,104.200,,-319.900,,346.551307,47.537577,2.550,0.020,MAINSEQ,2.07,,1.71,,4.21,
HIP 72622,HIP 72622,HD 130841,0,23.24,,,A3III/V,36.160,0.050,-105.700,,-69.000,,340.326094,38.008324,0.920,0.010,MAINSEQ,3.03,,2.51,,3.91,
HIP 72659 A,HIP 72659 A,HD 131156 A,0,6.78,0.07,-0.07,G7.0V,0.650,0.060,152.800,,-71.300,,23.085769,61.356738,5.520,0.030,MAINSEQ,0.84,,0.93,,4.57,
HIP 72848,HIP 72848,HD 131511,0,11.51,0.12,-0.11,K2V,0.540,0.100,-442.800,,216.800,,23.550306,60.934373,5.690,0.030,MAINSEQ,0.84,,0.93,,4.58,
HIP 73165,HIP 73165,HD 132052,0,26.90,0.27,-0.27,F2V,9.790,0.060,-97.800,,-154.600,,351.725299,46.270880,2.320,0.040,MAINSEQ,2.08,,1.80,,,
HIP 73184,HIP 73184,HD 131977,0,5.86,0.06,-0.06,K4.0V,0.290,0.100,1034.200,,-1725.600,,338.242480,32.681788,6.880,0.020,MAINSEQ,0.73,,0.78,,4.63,
HIP 73695 A,HIP 73695 A,HD 133640,0,12.51,0.26,-0.25,G2V+G2V,1.740,0.070,-436.200,,18.900,,80.368657,57.065147,4.340,0.040,MAINSEQ,1.43,,1.15,,,
HIP 74395,HIP 74395,HD 134505,0,35.64,0.88,-0.93,G8 III,,,-113.100,0.800,-71.600,0.800,323.758877,4.983950,,,,,,,,,
HIP 746,HIP 746,HD 432,0,16.78,0.17,-0.17,F2III-IV,29.090,0.060,523.400,,-180.400,,117.526881,-3.277129,1.130,0.030,MAINSEQ,3.76,,2.37,,3.49,
HIP 74824,HIP 74824,HD 135379,0,29.63,0.64,-0.67,A2/3 IV/V,,,-98.390,0.900,-135.460,0.820,320.889982,-1.119158,,,,,,,,,
HIP 75312 A,HIP 75312 A,HD 137107,0,17.86,0.18,-0.18,G2V,1.640,0.110,125.800,,-176.500,,47.536827,56.725186,4.320,0.050,MAINSEQ,1.15,,1.14,,,
HIP 75695,HIP 75695,HD 137909,0,34.97,0.82,-0.86,A8 V: SrCrEu,,,-181.500,0.600,85.200,0.500,45.586787,55.616617,,,,,,,,,
HIP 76267,HIP 76267,HD 139006,0,23.01,0.23,-0.23,A0V,70.810,0.050,120.400,,-89.400,,41.869935,53.772716,0.400,0.020,MAINSEQ,3.05,,2.98,,3.71,
HIP 76829,HIP 76829,HD 139664,0,17.44,,,F3/5V,3.580,0.060,-168.700,,-265.700,,331.958787,8.433886,3.430,0.020,MAINSEQ,1.42,,1.39,,4.14,
HIP 77070,HIP 77070,HD 140573,0,22.68,,,K2III,58.780,0.060,134.700,,44.100,,14.202435,44.079248,0.830,0.030,GIANT,12.34,,2.84,,2.37,
HIP 77257,HIP 77257,HD 141004,0,12.12,,,G0Vvar,2.220,0.060,-225.500,,-68.500,,15.697239,44.102769,4.000,0.030,MAINSEQ,1.34,,1.11,,4.25,
HIP 7751 B,HIP 7751 B,HD 10360,0,7.82,0.16,-0.15,K0/4,0.340,0.110,286.100,,16.700,,289.596469,-59.662341,6.220,0.060,MAINSEQ,0.71,,0.75,,4.64,
HIP 77622,HIP 77622,HD 141795,0,21.60,,,Am(kA2hA5mA7V),12.880,0.100,128.000,,61.900,,13.151259,41.659173,2.040,0.020,MAINSEQ,1.75,,1.93,,,
HIP 77760,HIP 77760,HD 142373,0,15.89,,,F9V,3.260,0.060,439.000,,629.500,,67.694759,50.319286,3.590,0.020,MAINSEQ,1.71,,1.05,,4.02,
HIP 77952,HIP 77952,HD 141891,0,12.38,,,F0III/IV,9.430,0.060,-188.400,,-401.900,,321.846152,-7.523155,2.350,0.020,MAINSEQ,2.02,,1.78,,3.90,
HIP 78072,HIP 78072,HD 142860,0,11.25,,,F6V,3.130,0.050,311.200,,-1282.200,,27.733058,45.697913,3.590,0.010,MAINSEQ,1.50,,1.21,,4.18,
HIP 78527,HIP 78527,HD 144284,0,21.03,,,F8IV-V,14.840,0.060,-320.100,,335.000,,90.188606,44.584496,2.380,0.020,MAINSEQ,5.95,,2.00,,,
HIP 7918,HIP 7918,HD 10307,0,12.74,0.13,-0.13,G2V,1.490,0.050,791.400,,-180.200,,132.713367,-19.299806,4.430,0.020,MAINSEQ,1.18,,1.11,,4.35,
HIP 79672,HIP 79672,HD 146233,0,13.90,0.14,-0.14,G5V,1.110,0.100,232.200,,-495.800,,4.695844,29.158258,4.780,0.030,MAINSEQ,1.04,,1.01,,4.42,
HIP 7981,HIP 7981,HD 10476,0,7.53,,,K1V,0.470,0.050,-302.100,,-677.400,,138.876366,-41.015321,5.860,0.010,MAINSEQ,0.82,,0.82,,4.54,
HIP 79882,HIP 79882,HD 146791,0,32.96,0.84,-0.88,G9.5 IIIb,,,82.390,0.840,40.080,0.730,8.565825,30.809881,,,,,,,,,
HIP 80331,HIP 80331,HD 148387,0,28.23,,,G8III,68.790,0.050,-17.000,,56.700,,92.584292,40.951180,0.480,0.010,GIANT,11.31,,2.96,,3.33,
HIP 80686,HIP 80686,HD 147584,0,12.12,0.12,-0.12,G0V,1.410,0.100,199.900,,110.800,,319.530255,-14.573491,4.480,0.030,MAINSEQ,1.06,,1.09,,4.44,
HIP 81300,HIP 81300,HD 149661,0,9.75,,,K1V,0.470,0.060,455.200,,-307.600,,13.725034,28.413409,5.810,0.030,MAINSEQ,0.82,,0.89,,4.59,
HIP 81693 A,HIP 81693 A,HD 150680,0,10.72,0.11,-0.11,F9IV,7.730,0.050,-462.600,,345.100,,52.659806,40.288087,2.660,0.020,MAINSEQ,2.73,,1.69,,,
HIP 81833,HIP 81833,HD 150997,0,34.35,0.60,-0.62,G7.5 IIIb Fe-1,,,35.600,0.600,-84.500,0.600,62.280954,40.903628,,,,,,,,,
HIP 82396,HIP 82396,HD 151680,0,19.54,,,K2IIIB,61.070,0.060,-611.800,,-255.900,,348.812471,6.560217,0.810,0.030,GIANT,11.77,,2.87,,,
HIP 82860,HIP 82860,HD 153597,0,15.26,0.15,-0.15,F6Vvar,2.260,0.060,238.100,,50.800,,95.678271,36.463377,3.960,0.030,MAINSEQ,1.33,,1.23,,,
HIP 83000,HIP 83000,HD 153210,0,28.04,0.28,-0.28,K2IIIvar,53.370,0.060,-293.000,,-9.700,,28.365331,29.504176,0.940,0.030,GIANT,11.68,,2.77,,2.50,
HIP 8362,HIP 8362,HD 10780,0,10.07,0.10,-0.10,K0V,0.550,0.050,582.000,,-246.800,,129.086236,1.656169,5.620,0.020,MAINSEQ,0.85,,0.85,,4.52,
HIP 84012 A,HIP 84012 A,HD 155125,0,27.09,0.55,-0.53,A2.5VA,69.380,0.070,41.200,,97.700,,6.721112,14.007869,0.270,0.050,MAINSEQ,3.59,,2.97,,3.74,
HIP 84143,HIP 84143,HD 155203,0,22.53,,,F2V,20.170,0.060,22.000,,-287.400,,344.364963,-2.303235,1.550,0.020,MAINSEQ,3.52,,2.16,,3.10,
HIP 84379,HIP 84379,HD 156164,0,23.04,,,A3IVvSB,25.630,0.050,-21.100,,-157.700,,46.824474,31.423428,1.310,0.010,MAINSEQ,2.14,,2.30,,3.47,
HIP 84405 B,HIP 84405 B,HD 155886,0,5.95,0.06,-0.06,K1.5V,0.690,0.100,-473.700,,-1143.900,,358.281796,6.878776,5.460,0.020,MAINSEQ,1.06,,0.91,,,
HIP 84478,HIP 84478,HD 156026,0,5.95,0.06,-0.06,K5.0V,0.160,0.060,-479.700,,-1123.400,,358.441238,6.751272,7.460,0.030,MAINSEQ,0.62,,0.67,,4.70,
HIP 84709,HIP 84709,HD 156384,0,6.84,0.44,-0.39,M1.5V,0.130,0.170,1149.200,,-90.800,,351.840699,1.425692,7.080,0.160,MAINSEQ,0.52,,0.59,,,
HIP 84720 A,HIP 84720 A,HD 156274,0,8.80,0.09,-0.09,M0V,0.520,0.060,1035.200,,109.200,,342.297179,-5.266002,5.800,0.030,,0.94,,0.84,,,
HIP 84862,HIP 84862,HD 157214,0,14.33,,,G0V,1.300,0.060,135.400,,-1040.500,,55.868540,32.310097,4.600,0.020,MAINSEQ,1.17,,0.93,,4.29,
HIP 84893,HIP 84893,HD 156897,0,17.36,,,F2/3V,4.420,0.100,262.000,,-204.700,,3.590056,8.912844,3.190,0.030,MAINSEQ,1.56,,1.46,,3.98,
HIP 8497,HIP 8497,HD 11171,0,23.19,0.23,-0.23,F0V,6.090,0.060,-148.900,,-94.500,,165.482449,-68.608157,2.830,0.030,MAINSEQ,1.64,,1.59,,4.10,
HIP 85340,HIP 85340,HD 157792,0,25.50,0.26,-0.25,A3MF0(IV),11.620,0.100,-2.000,,-117.700,,1.708393,6.186423,2.120,0.030,MAINSEQ,2.05,,1.88,,3.65,
HIP 85667 A,HIP 85667 A,HD 158614 A,0,16.34,0.17,-0.16,G6V,1.900,0.110,-126.600,,-172.000,,22.400447,17.438324,4.240,0.030,MAINSEQ,1.50,,1.18,,,
HIP 86032,HIP 86032,HD 159561,0,14.90,0.30,-0.29,A5III,26.870,0.040,110.100,,-222.600,,35.894109,22.568593,1.210,0.040,MAINSEQ,2.55,,2.33,,,
HIP 86201,HIP 86201,HD 160922,0,23.16,,,F5V,5.610,0.100,1.300,,321.100,,99.084975,31.868408,2.950,0.030,MAINSEQ,1.83,,1.56,,,
HIP 86486,HIP 86486,HD 160032,0,21.45,0.22,-0.21,F2V,4.860,0.110,104.300,,-177.700,,341.884872,-9.768825,3.090,0.030,MAINSEQ,1.65,,1.50,,,
HIP 86614,HIP 86614,HD 162003,0,22.84,0.23,-0.23,F5IV-V,6.720,0.070,26.600,,-269.800,,102.969325,31.031006,2.760,0.040,MAINSEQ,2.08,,1.63,,,
HIP 86736,HIP 86736,HD 160915,0,17.65,,,F6/7V,3.020,0.100,-97.900,,-44.600,,5.934829,4.206287,3.630,0.030,MAINSEQ,1.39,,1.33,,4.13,
HIP 86742,HIP 86742,HD 161096,0,25.09,,,K2III,63.860,0.060,-40.700,,158.800,,29.213007,17.191111,0.750,0.030,GIANT,12.73,,2.90,,1.99,
HIP 86974,HIP 86974,HD 161797,0,8.31,,,G5IV,2.780,0.060,-291.400,,-750.000,,52.440712,25.626183,3.810,0.020,MAINSEQ,1.73,,1.09,,4.04,
HIP 87108,HIP 87108,HD 161868,0,29.05,0.81,-0.86,A1 Vn kA0mA0,,,-23.200,0.400,-74.900,0.500,28.015540,15.360000,,,,,,,,,
HIP 87585,HIP 87585,HD 163588,0,34.18,0.56,-0.58,K2 III,,,93.900,0.700,79.600,0.700,85.166639,30.229298,,,,,,,,,
HIP 8796,HIP 8796,HD 11443,0,19.42,,,F6IV,13.850,0.050,12.000,,-233.700,,138.642228,-31.404798,1.980,0.020,MAINSEQ,3.15,,1.96,,3.57,
HIP 88175,HIP 88175,HD 164259,0,23.55,0.24,-0.23,F2IV,6.610,0.060,154.200,,-44.400,,23.733555,9.584279,2.760,0.030,MAINSEQ,1.87,,1.62,,4.01,
HIP 88601 A,HIP 88601 A,HD 165341,0,5.10,0.05,-0.05,K0V,0.680,0.050,124.600,,-962.700,,29.895371,11.368424,5.490,0.020,MAINSEQ,1.09,,0.91,,4.03,
HIP 88635,HIP 88635,HD 165135,0,29.70,0.30,-0.29,K0III,66.220,0.060,-55.800,,-181.500,,0.918988,-4.537878,0.590,0.030,GIANT,11.22,,2.93,,,
HIP 88745 A,HIP 88745 A,HD 165908,0,15.64,0.16,-0.15,F7V,2.050,0.060,-100.900,,111.700,,56.972508,22.298433,4.090,0.030,MAINSEQ,1.36,,1.20,,,
HIP 88771,HIP 88771,HD 165777,0,26.63,0.27,-0.26,A4IVs,20.100,0.060,-61.600,,79.700,,36.591093,14.095965,1.580,0.030,MAINSEQ,2.12,,2.16,,3.89,
HIP 88972,HIP 88972,HD 166620,0,11.02,,,K2V,0.360,0.040,-316.200,,-468.300,,65.334927,24.207145,6.170,0.030,MAINSEQ,0.79,,0.79,,4.56,
HIP 8903,HIP 8903,HD 11636,0,17.99,0.18,-0.18,A5V...,24.760,0.070,96.300,,-108.800,,142.244542,-39.681485,1.360,0.040,MAINSEQ,2.40,,2.28,,4.10,
HIP 89042,HIP 89042,HD 165499,0,17.61,0.18,-0.17,G1V,1.780,0.060,-77.600,,234.700,,332.209336,-19.164184,4.240,0.020,MAINSEQ,1.24,,1.16,,4.30,
HIP 89937,HIP 89937,HD 170153,0,8.06,0.08,-0.08,F7Vvar,2.140,0.110,531.100,,-351.600,,103.457263,28.058473,4.030,0.030,MAINSEQ,1.30,,1.22,,,
HIP 89962,HIP 89962,HD 168723,0,18.54,,,K0III-IV,19.560,0.040,-547.600,,-700.700,,26.897463,5.361797,1.890,0.020,GIANT,5.94,,2.42,,3.21,
HIP 9007,HIP 9007,HD 11937,0,17.85,0.18,-0.18,G8IIIBCNIV,10.950,0.100,681.200,,284.200,,280.865762,-62.666039,2.430,0.030,GIANT,4.10,,1.85,,,
HIP 90139,HIP 90139,HD 169414,0,39.37,0.98,-1.03,K0,,,197.300,0.300,-243.500,0.300,49.766751,15.599478,,,,,,,,,
HIP 90496,HIP 90496,HD 169916,0,23.97,,,K1IIIB,52.220,0.060,-44.800,,-186.300,,7.660702,-6.521581,0.910,0.020,GIANT,10.41,,2.76,,,
HIP 910,HIP 910,HD 693,0,18.75,0.19,-0.19,F5V,3.380,0.060,-84.200,,-269.300,,82.228932,-75.064625,3.530,0.030,MAINSEQ,1.57,,1.37,,4.18,
HIP 91262,HIP 91262,HD 172167,0,7.68,,,A0Vvar,61.000,0.050,201.000,,287.500,,67.447287,19.237573,0.600,0.010,MAINSEQ,2.87,,2.87,,3.88,
HIP 91438,HIP 91438,HD 172051,0,13.08,0.13,-0.13,G5V,0.710,0.100,-74.900,,-151.900,,12.725464,-6.796390,5.280,0.030,MAINSEQ,0.90,,0.87,,4.48,
HIP 92043,HIP 92043,HD 173667,0,19.21,,,F6V,6.720,0.100,-9.200,,-335.600,,50.790793,10.430423,2.770,0.030,MAINSEQ,2.03,,1.35,,3.99,
HIP 92161,HIP 92161,HD 173880,0,28.89,0.29,-0.29,A5III,13.580,0.070,83.700,,119.000,,48.762777,9.124270,2.030,0.050,MAINSEQ,1.77,,1.95,,,
HIP 9236,HIP 9236,HD 12311,0,22.01,0.22,-0.22,F0V,28.750,0.060,262.500,,26.900,,289.446743,-53.760159,1.150,0.030,MAINSEQ,3.44,,2.37,,3.37,
HD 176051,HIP 93017 A,HD 176051,0,14.87,0.15,-0.15,G0V,1.500,0.100,202.800,,-144.000,,63.348355,13.266360,4.420,0.030,MAINSEQ,1.11,,1.11,,,
HIP 93506 A,HIP 93506 A,HD 176687 A,0,27.04,0.55,-0.53,A3IV,58.040,0.120,-14.100,,3.700,,6.840253,-15.353486,0.440,0.060,MAINSEQ,3.28,,2.83,,3.90,
HIP 93747,HIP 93747,HD 177724,0,25.46,,,A0Vn,40.340,0.050,-7.000,,-95.300,,46.854511,3.245577,0.960,0.010,MAINSEQ,2.50,,2.58,,3.74,
HIP 93825 A,HIP 93825 A,HD 177474,0,17.30,0.17,-0.17,F8/G0V,5.300,0.060,96.900,,-279.700,,0.159383,-18.735504,3.040,0.040,MAINSEQ,1.99,,1.53,,4.10,
HIP 94376,HIP 94376,HD 180711,0,29.87,,,G9III,59.590,0.060,94.500,,92.300,,98.655637,22.994631,0.680,0.020,GIANT,10.42,,2.85,,,
HIP 95447,HIP 95447,HD 182572,0,15.18,,,G8IVvar,1.840,0.060,721.300,,643.600,,47.369614,-1.865590,4.250,0.030,MAINSEQ,1.36,,1.15,,4.24,
HIP 95501,HIP 95501,HD 182640,0,15.53,0.32,-0.30,F2IV,9.010,0.060,253.100,,80.700,,39.618253,-6.130888,2.400,0.040,MAINSEQ,2.00,,1.76,,,
HIP 96100,HIP 96100,HD 185144,0,5.75,0.06,-0.06,G9.0V,0.440,0.060,598.400,,-1738.800,,101.307094,21.879823,5.870,0.030,MAINSEQ,0.81,,0.80,,4.54,
HIP 96441,HIP 96441,HD 185395,0,18.34,,,F4V,4.510,0.050,-8.200,,263.000,,82.667103,13.846785,3.170,0.020,MAINSEQ,1.58,,1.35,,4.20,
HIP 96895,HIP 96895,HD 186408,0,21.08,0.21,-0.21,G2V,1.700,0.040,-147.800,,-158.800,,83.340175,13.214746,4.300,0.030,MAINSEQ,1.26,,1.02,,4.28,
HIP 97649,HIP 97649,HD 187642,0,5.12,0.05,-0.05,A7IV-V,10.650,0.050,536.800,,385.500,,47.742606,-8.908432,2.210,0.020,MAINSEQ,1.79,,1.83,,3.76,
HIP 98036,HIP 98036,HD 188512,0,13.70,,,G8IVvar,6.290,0.060,46.400,,-481.300,,46.126374,-11.094331,3.030,0.020,GIANT,3.12,,1.47,,3.65,
HIP 98495,HIP 98495,HD 188228,0,32.54,0.57,-0.59,A0 Va,,,79.900,0.800,-131.600,0.800,322.019206,-30.902240,,,,,,,,,
HIP 99240,HIP 99240,HD 190248,0,6.11,0.06,-0.06,G8.0IV,1.330,0.060,1210.300,,-1130.300,,329.770881,-32.413766,4.600,0.030,MAINSEQ,1.22,,0.99,,4.28,
HIP 99461,HIP 99461,HD 191408,0,6.01,0.06,-0.06,K2.5V,0.280,0.100,456.900,,-1574.900,,5.237173,-30.922639,6.420,0.030,MAINSEQ,0.74,,0.74,,4.58,
